cod;es;en;eu;ca
nom;Español;English;Euskara;Català
0;TAXO.GG;TAXO.GG;TAXO.GG;TAXO.GG
1;Idiomas;Languajes;Hizkuntzak;Idiomes
2;Inicio;Home;Hasiera;Inici
3;Taxones;Taxons;Taxoiak;Tàxons
4;Claves;Keys;Giltzak;Claus
5;Solicitud ID;ID Request;ID Aplikazio;Sol·licitud ID
6;Comunidad;Comunity;Komunitatea;Comunitat
7;Usuario / Correo;Username / Email address;Erabiltzailea / Posta elektronikoa;Usuari / Correu electrònic
8;Contraseña;Password;Pasahitza;Contrasenya
9;Mantener la sesión iniciada;Stay logged-in;Saioa hasita mantendu;Mantenir la sessió iniciada
10;Intento de inicio de sesión fallido;Failed login attempt;Saio-hasiera saiakera huts egin du;ntent d'inici de sessió fallit
11;Iniciar sesión;Sign in;Saioa hasi;Iniciar sessió
12;Crear cuenta;Create an account;Kontua sortu;Crear compte
13;Nombre;Name;Izen-abizenak;Nom
14;Repite la contraseña;Repeat password;Pasahitza errepikatu;Repeteix la contrasenya
15;Registrarme;Register;Izena eman;Registrar-me
16;Correo;Email address;Posta elektronikoa;Correu electrònic
17;¿Ya tienes cuenta?;Have an account?;Kontua baduzu jada?;Ja tens compte?
18;Iniciar sesión;Login;Saioa hasi;Iniciar sessió
19;Registrarme;Register;Izena eman;Registrar-me
20;Las contraseñas no coinciden;Passwords do not match;Pasahitzak ez datoz bat;Les contrasenyes no coincideixen
21;Usuario;Username;Erabiltzailea;Usuari
22;El nombre de usuario indicado ya está registrado;The username provided is already registered;Erabiltzaile izena dagoeneko erregistratuta dago;El nom d'usuari indicat ja està registrat
23;El correo electrónico indicado ya está registrado;The email provided address is already registered;Posta elektroniko helbidea dagoeneko erregistratuta dago;L'adreça de correu electrònic indicada ja està registrada
24;Cerrar sesión;logout;Saioa itxi;Tancar sessió
25;Nombre del taxón;Taxon name;Taxoiaren izena;Nom del tàxon
26;Buscar;Search;Bilatu;Buscar
27;Confirmar;Confirm;Berretsia;Confirmar
28;Cancelar;Cancel;Utzia;Cancel·lar
29;Perfil;Profile;Profila;Perfil
30;Jerarquía;Hierarchy;Jerarkia;Jerarquia
31;Descendencia;Descendence;Ondorengotza;Descendència
32;Cambiar foto de perfil;Change profile picture;Profila aldatu;Canviar foto de perfil
33;URL de la imagen;Image URL;Irudiaren URLa;URL de la imatge
34;Bienvenido a TAXO.GG;Welcome to TAXO.GG;Ongi etorri TAXO.GG-ra;Benvingut a TAXO.GG
35;Esta aplicación web te permitirá explorar la taxonomía de los seres vivos.;This web application will allow you to explore the taxonomy of living beings.;Aplikazio web honek izaki bizidunen taxonomia esploratzeko aukera emango dizu.;Aquesta aplicació web et permetrà explorar la taxonomia dels éssers vius.